location_id,postal_code,city,state,country
412,700150,Rajpur Sonarpur,West Bengal,In
413,602002,Thiruvallur,Tamil Nadu,In
414,523334,Bestawaripeta,Andhra Pradesh,In
415,530024,Visakhapatnam,Andhra Pradesh,In
416,175101,Kullu,Himachal Pradesh,In
417,534101,Tadepalligudem,Andhra Pradesh,In
418,625512,Andipatti Jakkampatti,Tamil Nadu,In
419,800027,Patna,Bihar,In
420,228119,Sultanpur,Uttar Pradesh,In
421,284200,Jhansi,Uttar Pradesh,In
422,110015,N.Delhi,Delhi,In
423,785702,Golaghat,Assam,In
424,251203,Muzaffarnagar,Uttar Pradesh,In
425,843301,Sitamarhi,Bihar,In
426,326519,Ramganjmandi,Rajasthan,In
427,835101,Ranchi,Jharkhand,In
428,421201,Dombivali  East,Maharashtra,In
429,744103,Junglighat,Andaman & Nicobar,In
430,581342,Uttara Kannada,Karnataka,In
431,700049,Belghria,West Bengal,In
432,676501,Malappuram,Kerala,In
433,841401,Saran,Bihar,In
434,122050,Gurgaon,Haryana,In
435,502276,Chinnakodur,Telangana,In
436,793200,Khliehriat,Meghalaya,In
437,786602,Duliajan,Assam,In
438,791112,Doimukh,Arunachal Pradesh,In
439,625020,Madurai,Tamil Nadu,In
440,769003,Rourkela,Odisha,In
441,452014,Indore,Madhya Pradesh,In
442,802212,Bikramganj,Bihar,In
443,122022,Gurgaon,Haryana,In
444,274302,"Dudahi, Kushinagar",Uttar Pradesh,In
445,201015,Ghaziabad,Uttar Pradesh,In
446,495446,Dipka,Chhattisgarh,In
447,632503,Arcot,Tamil Nadu,In
448,496116,Dharamjaigarh,Chhattisgarh,In
449,328026,Sarmathura,Rajasthan,In
450,571235,Shanivarsante,Karnataka,In
451,275102,Maunath Bhanjan,Uttar Pradesh,In
452,712103,Chinsurah Hooghly,West Bengal,In
453,263645,Ranikhet,Uttarakhand,In
454,534313,Devarapalli,Andhra Pradesh,In
455,682030,"Kakkanad,Ernakulam",Kerala,In
456,421201,"Thakurli East,Kalyan",Maharashtra,In
457,560051,Bengaluru,Karnataka,In
458,682021,Thrikakkara,Kerala,In
459,301707,Riico Industrial Area Khushkhera,Rajasthan,In
460,251315,Miranpur,Uttar Pradesh,In
461,110089,Rohini,Delhi,In
462,401209,Nalasorapra (E),Maharashtra,In
463,401101,"Mira Bhayandar,Thane",Maharashtra,In
464,641039,Coimbatore,Tamil Nadu,In
465,524303,Nellore,Andhra Pradesh,In
466,228001,Sultanpur,Uttar Pradesh,In
467,421202,Kalyan-Dombivli,Maharashtra,In
468,231001,Mirzapur,Uttar Pradesh,In
469,682306,Eroor  Kochi,Kerala,In
470,670601,Narath,Kerala,In
471,517129,Chittoor,Andhra Pradesh,In
472,682039,Kakkanad,Kerala,In
473,485001,Satna,Madhya Pradesh,In
474,284405,Mahroni,Uttar Pradesh,In
475,144024,Sufipind,Punjab,In
476,626149,Srivilliputhur,Tamil Nadu,In
477,700056,Panihati,West Bengal,In
478,560057,"T.Dasarahalli, Bangalore",Karnataka,In
479,305817,Kishangarh Ajmer District,Rajasthan,In
480,625006,"Thirunagar, Madurai",Tamil Nadu,In
481,756026,Baleshwar,Odisha,In
482,560037,Bengaluru,Karnataka,In
483,686667,Ernakulam District,Kerala,In
484,854105,Kathiar,Bihar,In
485,410210,Mumbai,Maharashtra,In
486,788005,Silchar,Assam,In
487,506002,Warangal,Telangana,In
488,570002,Mysore,Karnataka,In
489,576117,Karkal,Karnataka,In
490,641001,Coimbatore,Tamil Nadu,In
491,532264,Srikakulam,Andhra Pradesh,In
492,785666,Sibsagar,Assam,In
493,686018,Kottayam,Kerala,In
494,403709,"Curtorim,South Goa",Goa,In
495,685508,Kattappana,Kerala,In
496,201305,"Greater Noida West ,Gautam Budh Nagar",Uttar Pradesh,In
497,416804,Devgad,Maharashtra,In
498,534198,Ganapavaram,Andhra Pradesh,In
499,743127,Shyamnagar,West Bengal,In
500,441915,Bhandara,Maharashtra,In
501,243726,Wazirganj,Uttar Pradesh,In
502,721131,Purba Medinipur,West Bengal,In
503,400708,Airoli Navi Mumbai,Maharashtra,In
504,788802,Panchgram,Assam,In
505,847302,Sitamarhi,Bihar,In
506,421201,Thane,Maharashtra,In
507,221304,Gyanpur,Uttar Pradesh,In
508,385330,Deodar,Gujarat,In
509,833213,Gua,Jharkhand,In
510,571426,Krishnarajpet,Karnataka,In
511,781335,Nalbari,Assam,In
512,431154,Aurangabad,Maharashtra,In
513,110058,New Delhi,Delhi,In
514,412213,Pune,Maharashtra,In
515,151005,Bathinda,Punjab,In
516,281121,"Mathura, Vrindavan",Uttar Pradesh,In
517,781004,Guwahati,Assam,In
518,603004,Mahindra World City,Tamil Nadu,In
519,530020,Visakhapatnam,Andhra Pradesh,In
520,382435,Nandej,Gujarat,In
521,251309,Muzaffarnagar,Uttar Pradesh,In
522,755019,Jajpur,Odisha,In
523,201009,Grater Noida West,Uttar Pradesh,In
524,583123,Jsw Steel Plant Township,Karnataka,In
525,327001,Banswara,Rajasthan,In
526,627006,Tirunelveli Town,Tamil Nadu,In
527,712258,Uttarpara Kotrung,West Bengal,In
528,481111,Baihar,Madhya Pradesh,In
529,531002,Anakapalle,Andhra Pradesh,In
530,586130,Vijayapura,Karnataka,In
531,125039,Narnaund,Haryana,In
532,670004,Pallikunnu (P O),Kerala,In
533,560017,Bengaluru,Karnataka,In
534,494331,Keskal,Chhattisgarh,In
535,629501,Kanyakumari District,Tamil Nadu,In
536,245304,Pilkhuwa Hapur,Uttar Pradesh,In
537,403508,Bardez,Goa,In
538,171006,Shimla,Himachal Pradesh,In
539,530007,Visakhapatnam,Andhra Pradesh,In
540,127029,Bhiwani,Haryana,In
541,533450,Chitrada Village,Andhra Pradesh,In
542,492001,Raipur,Chhattisgarh,In
543,400701,Ghansoli Gaon,Maharashtra,In
544,786189,Tinsukia,Assam,In
545,560015,Bengaluru,Karnataka,In
546,560064,"Yelahanka, Bangalore",Karnataka,In
547,283135,Shikohabad,Uttar Pradesh,In
548,680703,Kattur,Kerala,In
549,172002,Kullu,Himachal Pradesh,In
550,421605,Titwala ( East),Maharashtra,In
551,325202,Anta City,Rajasthan,In
552,301019,Bhiwadi,Rajasthan,In
553,382450,Barwala,Gujarat,In
554,686542,Kottayam,Kerala,In
555,570026,Mysore,Karnataka,In
556,382115,Ahmedabad,Gujarat,In
557,394240,Surat,Gujarat,In
558,608602,Bhuvanagiri,Tamil Nadu,In
559,625514,"Chekkanoorani, Madurai",Tamil Nadu,In
560,332317,Sikar,Rajasthan,In
561,854105,Katihar,Bihar,In
562,784161,Bihpuria,Assam,In
563,147105,Patran,Punjab,In
564,400102,Mumbai,Maharashtra,In
565,226002,Lucknow,Uttar Pradesh,In
566,583118,Donimalai,Karnataka,In
567,603202,Guduvancherry,Tamil Nadu,In
568,313203,Udaipur Mavli,Rajasthan,In
569,673106,Kozhikode,Kerala,In
570,110059,Uttam Nagar,Delhi,In
571,683110,Kadungalloor,Kerala,In
572,766101,Rupra Road,Odisha,In
573,263145,Rudrapur,Uttarakhand,In
574,688522,Kalavoor,Kerala,In
575,273005,Near Shauchaley,Uttar Pradesh,In
576,690503,Alappuzha District,Kerala,In
577,535526,Srikakulam,Andhra Pradesh,In
578,508204,Huzur Nagar,Telangana,In
579,682021,Kochin,Kerala,In
580,507001,Chirch Compond,Telangana,In
581,686141,Vaikom,Kerala,In
582,401107,Mira Road,Maharashtra,In
583,560062,Bangalore,Karnataka,In
584,500087,Hyderabad,Andhra Pradesh,In
585,517325,"Madanapalle, Chittoor District",Andhra Pradesh,In
586,700136,"Rajarhaat , Kolkata",West Bengal,In
587,151502,Budhlada,Punjab,In
588,461223,Seoni Malwa,Madhya Pradesh,In
589,508126,Bibinagar Hyderabad,Telangana,In
590,454774,Pithampur Industrial Hub,Madhya Pradesh,In
591,141015,Ludhianaludhiana,Punjab,In
592,781036,Guwahati,Assam,In
593,700132,Madhyamgram,West Bengal,In
594,506310,Warangal,Telangana,In
595,571430,Malavalli,Karnataka,In
596,854301,Purnea,Bihar,In
597,827004,Bokaro,Jharkhand,In
598,682009,Kochi,Kerala,In
599,686103,Changanacherry,Kerala,In
600,505467,Chigur,Telangana,In
601,401602,Dahanu West,Maharashtra,In
602,700146,Kolkata,West Bengal,In
603,431602,Nanded Waghala,Maharashtra,In
604,574219,Kariyangala,Karnataka,In
605,700156,Kolkata,West Bengal,In
606,682303,Ambalamedu,Kerala,In
607,482009,Jabalpur,Madhya Pradesh,In
608,560107,Bengaluru,Karnataka,In
